name,value
Abahn Kibelius,71000
Abyssal Brass Ingot,550000
Abyssal Essence,725000
Acacia Plank,15200
Acacia Plywood,48300
Acacia Sap,29800
Acacia Seed,5550
Acacia Timber,1560
Agerian Armor,51500
Agerian Gloves,22600
Agerian Helmet,57000
Agerian Shoes,22900
Ahin Haladie,21400
Ain Amulet,377000
Ain Axe,377000
Ain Battle Axe,377000
Ain Blade,377000
Ain Crescent Pendulum,377000
Ain Crossbow,377000
Ain Florang,377000
Ain Foxspirit Charm,377000
Ain Gauntlet,377000
Ain Hammers,377000
Ain Hwando,377000
Ain Kriegsmesser,377000
Ain Kyve,377000
Ain Longbow,377000
Ain Longsword,377000
Ain Morning Star,377000
Ain Power Pole,377000
Ain Revolvers,377000
Ain Sacramentum,377000
Ain Serenaca,377000
Ain Shamshir,377000
Ain Shortsword,377000
Ain Slayer,377000
Ain Staff,377000
Ain Swallowtail Fan,377000
Akum Armor,1310000
Akum Gloves,1190000
Akum Helmet,1150000
Akum Shoes,1320000
Alchemy Stone Shard,194000
Alloria Aad Sphera,10400000
Alluvial Gold,11900
Aloe,2640
Amanita Mushroom,2630
Amanita Mushroom Hypha,16800
Amplified Lightstone of Wind: Feather,1010000000
Ancient Guardian's Seal,5250000
Ancient Mushroom,3510
Ancient Mushroom Hypha,22400
Ancient Weapon Core,5100000
Apple,775
Arrow Mushroom,775
Arrow Mushroom Hypha,22400
Artisan's Special Stuffed Llama,70000000
Artisan's Special Stuffed Snowfield Yak Head,8250000
Artisan's Special Stuffed Weasel,20600000
Artisan's Special Stuffed Yak Head,17200000
Artisan's Stuffed Snowfield Ili Pika,10200000
Asadal Belt,220000000
Asadal Necklace,68500000
Ascending Noble Sword,21400
Ash Plank,4310
Ash Plywood,25300
Ash Sap,46600
Ash Timber,1290
Ator's Shoes,21900000000
Audria,560
Axion Shield,29000
Azure Thunder Celestial Bo Staff,10400000
Azwell Amulet,42000
Azwell Axe,42000
Azwell Battle Axe,42000
Azwell Blade,42000
Azwell Crescent Pendulum,42000
Azwell Crossbow,42000
Azwell Florang,42000
Azwell Foxspirit Charm,42000
Azwell Gauntlet,42000
Azwell Hammers,42000
Azwell Hwando,42000
Azwell Kriegsmesser,42000
Azwell Kyve,42000
Azwell Longbow,42000
Azwell Longsword,42000
Azwell Morning Star,42000
Azwell Power Pole,42000
Azwell Revolvers,42000
Azwell Sacramentum,34000
Azwell Serenaca,42000
Azwell Shamshir,42000
Azwell Shortsword,42000
Azwell Slayer,42000
Azwell Staff,42000
Azwell Swallowtail Fan,42000
BON Magic Crystal - Addis,171000000
Backflow Gardbrace,10400000
Baconaua Cestus,10400000
Baduum Haladie,29000
Bag of Muddy Water,2330
Baharom Dual Glaives,10400000
Baharom Foxtail Fans,10400000
Balenos Fishing Rod,62000000
Bamboo Sprout,1450
Banana,775
Bares Amulet,267000
Bares Axe,267000
Bares Battle Axe,267000
Bares Belt,67500
Bares Blade,267000
Bares Crescent Pendulum,267000
Bares Crossbow,267000
Bares Earring,48100
Bares Florang,267000
Bares Foxspirit Charm,267000
Bares Gauntlet,267000
Bares Hammers,267000
Bares Hwando,267000
Bares Kriegsmesser,267000
Bares Kyve,267000
Bares Longbow,267000
Bares Longsword,267000
Bares Morning Star,267000
Bares Necklace,84000
